|comment|grade
0|Хотелось долго плеваться после того как я с трудом осилил половину книги. На этом моё увлечения творчеством Никитина было закончено. Я даже не захотел читать уже купленную книгу ?Изгой? из любимого некогда цикла Трое из леса.|0
1|ИМХО, в серии о Свароге Бушков исписался. Если первые две книги еще читать интересно, то остальное...... В общем, Сварога пора убивать.|0
2|"Много был наслышан об этом авторе и вот взялся прочесть. Сказать, что книга разочаровала - ничего не сказать. Смысловые ляпы на каждом шагу (например, команда ""огонь"" при стрельбе из луков в мире где нет индивидуального огнестрельного оружия и т.д.), громоздкий вычурный язык, отсутствие концовки, путешествие неизвестно куда и неизвестно зачем, слабая мотивация поступков героев. Книга гораздо ниже среднего. Теперь я начинаю понимать, почему многие не любят фэнтези."|0
3|Да, тяжело читать безграмотную фэнтези. Хотя, конечно, приступы гомерического смеха спасают ситуацию. Когда потомственный дворянин называет своего вассала сюзереном, а другой потомственый дворянин этого не замечает, начинаешь сомневаться в здравом смысле автора. Плохо, очень плохо.|0
4|Попытка свести сюжет предыдущих книг в единое целое. Где-то треть книги диалогов нет вообще, есть только описание странствия вора по подземельям. Мотивация у героев, как всегда отсутствует. Возможности магии приуменьшены. Если в первой книге ученица мага смогла залить овраг огнём, то в этой книге все вместе взятые архимаги не могут эффективно преломить ход битвы, размениваясь по мелочам. Олени, которые мчатся через лесную чащу быстрее, чем лошади по тракту меня умилили. Аффтор жжет.|0
5|"похоже, что писал человек, который обижен на весь мир и он ничего не хочет делать для того, чтобы что-то изменить, и все, на что хватает его ""сил"", это только ныть и жаловаться! вобщем ничего хуже и глупее, по-моему, не читала."|0
6|"Моя оценка - ниже плинтуса. Хотя многие хвалили. Но большинство хвалебных отзывов, которые мне встречались, выглядели примерно так: ""Вау! Какая достоверность! Ах, как это похоже на правду!"", а вот о том, что это худ. книга как то забывалось. Люди ей восхищались как энциклопедией, не обращая внимание ни на отсутствие смысловой начинки, ни на идейную пустоту... Ни на безверие автора, пишущего о вере."|0
7|"Приобрел одну книгу ""Воители Руси"" хуже не бывает! Выкинул бы, да денег потраченных жалко. Таким бездарям только на ""Союз пЕсателей"" к Бачинскому и Стиллавину!"|0
8|как делец, зарабатывающий на своих книгах, Браун уважение вызывает. Но как Писатель - увольте. Это жвачка, сдобренная в качестве вкусовых добавок ароматами тайн и Таинственных Обществ... Да, у него есть интрига. но почему-то эта интрига у него - шаблонна во всех книгах. И, скажите честно - вы хотя бы одну книгу Бруна перечитали много раз с тем же удовольствием? Или, когда пружины интриги все известны, читать стало неинтересно?|0
9|Второй раз читать не смог. ибо кроме интриги в книге нет НИЧЕГО: ни хорошего языка, ни каких-либо мыслей, вызывающих желание подумать. Жвачка. Один раз пожевал, а второй раз уже не вкусно.|0
